ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
radec_243.8906691_2.788156,243.8906691,2.788156,0.943987,1,2
radec_84.30762519_-57.258309,84.30762519,-57.258309,0.943846,0,3
radec_256.0225351_17.450133,256.0225351,17.450133,0.943696,0,3
radec_329.1949757_-61.613456,329.1949757,-61.613456,0.943615,0,3
radec_6.82952837_-26.436307,6.82952837,-26.436307,0.943534,0,3
radec_42.33552845_-33.304965,42.33552845,-33.304965,0.943456,0,3
radec_321.4466213_-46.25832,321.4466213,-46.25832,0.943451,0,3
radec_331.3545908_10.071892,331.3545908,10.071892,0.943424,0,3
radec_238.7850601_1.549099,238.7850601,1.549099,0.943395,0,3
radec_27.06061968_25.063749,27.06061968,25.063749,0.94339,0,3
radec_231.0167416_22.275017,231.0167416,22.275017,0.943252,0,3
radec_321.3409066_4.844566,321.3409066,4.844566,0.943246,1,2
radec_0.28441086_-58.493061,0.28441086,-58.493061,0.943172,0,3
radec_317.9976275_-3.532243,317.9976275,-3.532243,0.943064,0,3
radec_322.5405626_-41.046267,322.5405626,-41.046267,0.943045,0,3
radec_264.4525754_21.987004,264.4525754,21.987004,0.943041,0,3
radec_326.0659719_-0.720987,326.0659719,-0.720987,0.942794,0,3
radec_21.63769979_23.44334,21.63769979,23.44334,0.942781,0,3
radec_178.19342_35.674301,178.19342,35.674301,0.942708,0,3
radec_312.0972403_-49.157535,312.0972403,-49.157535,0.942651,0,3
radec_329.6082771_-60.940066,329.6082771,-60.940066,0.942599,0,3
radec_132.5831103_29.146608,132.5831103,29.146608,0.942597,0,3
radec_180.3938358_68.825885,180.3938358,68.825885,0.942597,0,3
radec_122.2842327_23.721039,122.2842327,23.721039,0.942569,0,3
radec_321.8581354_-53.432914,321.8581354,-53.432914,0.942481,0,3
radec_69.58831145_-47.129524,69.58831145,-47.129524,0.942435,0,3
radec_110.7287216_29.177985,110.7287216,29.177985,0.942336,0,3
radec_95.82218993_52.238217,95.82218993,52.238217,0.942307,0,3
radec_18.00987743_31.140257,18.00987743,31.140257,0.942279,1,1
radec_269.7755194_38.341496,269.7755194,38.341496,0.942174,1,2
radec_313.6539558_-49.783283,313.6539558,-49.783283,0.94217,0,3
radec_262.1848277_21.100544,262.1848277,21.100544,0.942152,1,2
