ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
rd_1.89276482_-8.50816154,1.89276482,-8.50816154,0.952006,0,
rd_213.4039745_-1.4083373,213.4039745,-1.4083373,0.952003,1,A
rd_109.487225_31.33445616,109.487225,31.33445616,0.951981,0,
rd_43.16734011_8.64750378,43.16734011,8.64750378,0.951974,0,
rd_76.74453596_-45.06839313,76.74453596,-45.06839313,0.951973,0,
rd_55.85465376_-7.92339912,55.85465376,-7.92339912,0.951967,1,sdO
rd_266.3865609_29.43045518,266.3865609,29.43045518,0.951895,0,
rd_39.80643224_17.2429332,39.80643224,17.2429332,0.951853,1,DZ
rd_331.4585899_21.09306308,331.4585899,21.09306308,0.951842,0,
rd_17.29886418_-18.23589795,17.29886418,-18.23589795,0.951814,0,
rd_59.14628611_-36.62668011,59.14628611,-36.62668011,0.951621,0,
rd_308.860511_-46.339274,308.860511,-46.339274,0.951492,0,
rd_254.178893_21.30286058,254.178893,21.30286058,0.951469,0,
rd_239.3202805_50.23338764,239.3202805,50.23338764,0.951432,0,
rd_88.39629674_-24.80443567,88.39629674,-24.80443567,0.951414,0,
rd_317.3645442_-44.01018643,317.3645442,-44.01018643,0.951395,0,
rd_329.4953428_-60.44674577,329.4953428,-60.44674577,0.951374,0,
rd_2.55938855_32.60105727,2.55938855,32.60105727,0.951328,0,
rd_133.6274635_37.78967383,133.6274635,37.78967383,0.951238,0,
rd_237.2758878_0.75611323,237.2758878,0.75611323,0.951196,1,A
rd_66.5630975_-65.67610708,66.5630975,-65.67610708,0.951176,0,
rd_101.3648076_79.01492809,101.3648076,79.01492809,0.951095,0,
rd_253.7602491_24.68348399,253.7602491,24.68348399,0.951045,1,A
rd_12.52788016_-20.97368028,12.52788016,-20.97368028,0.951002,0,
rd_30.13572165_-33.27582077,30.13572165,-33.27582077,0.950879,0,
rd_249.3009996_-1.21115916,249.3009996,-1.21115916,0.950629,0,
rd_10.76275155_-39.24298719,10.76275155,-39.24298719,0.950627,0,
rd_247.2342218_38.07114887,247.2342218,38.07114887,0.950623,0,
rd_324.2757782_-50.3469599,324.2757782,-50.3469599,0.950599,0,
rd_2.70722499_-40.34148626,2.70722499,-40.34148626,0.950586,0,
rd_240.5359281_20.54979903,240.5359281,20.54979903,0.950563,0,
rd_154.6964849_19.19914191,154.6964849,19.19914191,0.950549,0,
rd_162.9246408_21.71400969,162.9246408,21.71400969,0.950543,0,
rd_24.81379446_31.40536453,24.81379446,31.40536453,0.950533,0,
rd_46.88466304_3.26110721,46.88466304,3.26110721,0.950464,0,
rd_342.8374283_17.31290417,342.8374283,17.31290417,0.950399,0,
rd_334.6855658_-52.68974015,334.6855658,-52.68974015,0.95039,0,
rd_330.070665_-54.12770895,330.070665,-54.12770895,0.950346,0,
rd_89.41573952_-56.75646723,89.41573952,-56.75646723,0.950158,0,
rd_157.2160575_28.21022304,157.2160575,28.21022304,0.950153,0,
rd_341.2251139_18.43369897,341.2251139,18.43369897,0.950098,0,
rd_53.36690373_-60.54861691,53.36690373,-60.54861691,0.949998,0,
rd_13.72194717_7.18213957,13.72194717,7.18213957,0.949993,0,
rd_64.3214011_-15.71288914,64.3214011,-15.71288914,0.949958,0,
rd_260.6787879_39.38082753,260.6787879,39.38082753,0.949937,1,B
rd_67.17542325_-42.68609522,67.17542325,-42.68609522,0.949902,0,
rd_205.0346585_19.50491219,205.0346585,19.50491219,0.949898,0,
rd_65.38086043_-48.49605774,65.38086043,-48.49605774,0.949874,0,
rd_29.50757537_-5.28107268,29.50757537,-5.28107268,0.949818,0,
